# Name	lat	long	altitude
Santa Maria (island)	36,97139	-25,170639	308
Ponta Delgada	37,741184	-25,69787	259
Lajes (terceira Island)	38,761842	-27,090797	180
Graciosa Island	39,092169	-28,029847	86
Sao Jorge Island	38,6655	-28,175817	311
Pico	38,554333	-28,441333	109
Horta	38,519894	-28,715872	118
Flores (flores Isl.)	39,455272	-31,131361	112
Corvo	39,6715	-31,1136	0
Braganca	41,8578	-6,707125	2241
Porto	41,248055	-8,681389	228
Viseu	0	0	0
Lisbon	38,781311	-9,135919	374
Beja	0	0	0
Faro	37,014425	-7,965911	24
Funchal	32,697889	-16,774453	192
Porto Santo	33,073386	-16,349975	341
Madrid	40,493556	-3,566764	2000
Sevilla	37,418	-5,893106	111
Bilbao	43,301097	-2,910608	138
Barcelona	41,297078	2,078464	12
Valencia	39,489314	-0,481625	225
Almeria	36,843936	-2,370097	70
Tenerife	28,044475	-16,572489	209
Santiago	42,896333	-8,415144	1213
n.a.	28,0296	-17,2146	718
Hierro	27,814847	-17,887056	103
Gran Canaria	27,931886	-15,386586	78
Fuerteventura	28,452717	-13,863761	83
Lanzerote	28,945464	-13,605225	47
