# Name	lat	long	altitude
Santa Maria	36,97139	-25,170639	308
Ponta Delgada	37,741184	-25,69787	259
Lajes	38,761842	-27,090797	180
Graciosa	39,092169	-28,029847	86
Sao Jorge	38,6655	-28,175817	311
Pico	38,554333	-28,441333	109
Horta	38,519894	-28,715872	118
Flores	39,455272	-31,131361	112
Corvo Airport	39,6715	-31,1136	0
Braganca	41,8578	-6,707125	2241
Porto	41,248055	-8,681389	228
Viseu	0	0	0
Lisboa	38,781311	-9,135919	374
Beja	0	0	0
Faro	37,014425	-7,965911	24
Madeira	32,697889	-16,774453	192
Porto Santo	33,073386	-16,349975	341
